date,variable,US,AU,CA,DE,FR,GB,IE,JP
2020-08-01,total postings,81.74,71.97,73.59,84.01,67.5,45.1,56.62,79.01
2020-08-02,total postings,81.84,71.89,73.52,83.99,67.59,45.07,56.64,78.38
2020-08-03,total postings,81.98,71.84,73.48,83.83,67.52,44.99,56.64,78.59
2020-08-04,total postings,82.03,71.84,73.36,83.45,67.2,45.01,56.48,78.84
2020-08-05,total postings,82.13,71.88,73.23,83.41,67.54,45.11,56.23,80.67
2020-08-06,total postings,82.12,71.78,73.12,83.58,68.06,45.34,56.26,82.33
2020-08-07,total postings,82.12,71.83,73.16,83.44,68.46,45.53,56.28,83.93
2020-08-08,total postings,82.11,71.94,73.38,83.55,68.94,45.79,56.39,85.56
2020-08-09,total postings,82.09,72.2,73.63,83.59,69.4,46.08,56.55,87.28
2020-08-10,total postings,82.03,72.38,73.8,83.81,69.88,46.4,56.72,88.9
2020-08-11,total postings,82.08,72.52,74.1,84.23,70.55,46.72,57.11,90.41
2020-08-12,total postings,81.96,72.65,74.28,84.59,70.77,46.92,57.64,90.24
2020-08-13,total postings,81.91,72.9,74.41,84.95,70.86,47.07,57.96,90.37
2020-08-14,total postings,81.9,73.07,74.66,85.34,71.0,47.22,58.21,90.46
2020-08-15,total postings,81.8,73.07,74.55,85.71,71.14,47.39,58.31,90.52
2020-08-16,total postings,81.86,73.02,74.66,86.02,71.11,47.55,58.4,90.61
2020-08-17,total postings,81.91,72.96,74.82,86.24,71.27,47.75,58.51,90.75
2020-08-18,total postings,81.9,72.89,74.91,86.6,71.62,47.96,58.54,91.55
2020-08-19,total postings,82.03,72.91,75.2,86.84,71.92,48.15,58.5,92.32
2020-08-20,total postings,82.19,72.9,75.47,86.92,72.24,48.4,58.42,92.69
2020-08-21,total postings,82.28,72.91,75.61,86.74,72.25,48.52,58.19,93.17
2020-08-22,total postings,82.55,73.17,76.03,86.42,72.24,48.66,58.1,93.8
2020-08-23,total postings,82.64,73.35,76.28,86.35,72.62,48.84,58.12,94.49
2020-08-24,total postings,82.77,73.58,76.47,86.34,72.94,49.01,58.13,95.02
2020-08-25,total postings,82.95,73.84,76.78,86.21,73.08,49.16,58.18,94.82
2020-08-26,total postings,83.11,73.97,76.89,85.87,73.16,49.38,58.31,94.61
2020-08-27,total postings,83.21,74.04,77.04,85.43,73.1,49.49,58.49,94.77
2020-08-28,total postings,83.37,74.13,77.28,85.09,73.08,49.59,58.68,95.07
2020-08-29,total postings,83.56,74.17,77.5,85.22,73.52,49.8,59.04,95.28
2020-08-30,total postings,83.78,74.24,77.74,85.17,73.73,50.03,59.32,95.46
2020-08-31,total postings,83.98,74.44,77.99,85.05,73.66,50.22,59.59,95.75
2020-09-01,total postings,84.08,74.43,78.0,84.79,73.54,50.21,59.66,96.02
2020-09-02,total postings,84.17,74.48,78.23,84.73,73.33,50.2,59.71,96.31
2020-09-03,total postings,84.33,74.61,78.44,84.76,73.37,50.18,59.74,96.43
2020-09-04,total postings,84.46,74.72,78.61,85.1,73.81,50.39,60.01,96.32
2020-09-05,total postings,84.52,74.72,78.83,85.04,73.71,50.39,60.06,96.13
2020-09-06,total postings,84.61,74.81,78.97,85.07,73.75,50.38,60.15,95.87
2020-09-07,total postings,84.69,74.89,79.28,85.18,73.94,50.34,60.24,95.71
2020-09-08,total postings,84.76,75.19,79.54,85.32,74.28,50.52,60.44,95.28
2020-09-09,total postings,84.88,75.54,79.68,85.42,74.65,50.7,60.7,94.89
2020-09-10,total postings,85.07,75.85,79.8,85.39,74.72,50.92,61.03,94.69
2020-09-11,total postings,85.3,76.22,79.91,85.5,75.11,51.23,61.38,94.52
2020-09-12,total postings,85.46,76.54,79.87,85.54,75.48,51.44,61.67,94.16
2020-09-13,total postings,85.56,76.8,79.87,85.48,75.72,51.66,61.75,93.81
2020-09-14,total postings,85.71,77.09,79.72,85.4,75.9,51.89,61.91,93.33
2020-09-15,total postings,85.97,77.36,79.77,85.26,75.83,52.04,61.97,93.36
2020-09-16,total postings,86.21,77.56,79.89,85.21,75.83,52.23,62.14,93.3
2020-09-17,total postings,86.4,77.76,80.01,85.47,76.26,52.51,62.39,93.09
2020-09-18,total postings,86.57,77.87,80.16,85.44,76.26,52.64,62.35,92.89
2020-09-19,total postings,86.74,78.1,80.41,85.46,76.38,52.85,62.34,92.95
2020-09-20,total postings,86.97,78.36,80.66,85.45,76.45,53.07,62.42,93.06
2020-09-21,total postings,87.13,78.56,80.89,85.27,76.41,53.18,62.34,93.28
2020-09-22,total postings,87.31,78.81,81.17,85.35,76.67,53.4,62.52,93.35
